Title,Data,Category
"It is the worst packaging ever it seems…

","It is the worst packaging ever it seems like i order a paper not clothes!!

",neg
"Extremely slow and bad customer service

","I don&apos;t like leaving bad reviews, but this situation has cost me a lot of nerves and time &amp; still didn&apos;t get solved after over a month of chaos.I&apos;ve ordered an item that cost quite a lot of money and since it arrived faulty, I returned it right away to them on 6th December. By law and their own policy, I should&apos;ve received a refund no later than in 14 days, however, we&apos;re now far away from the expected dates as you can see.Each time I&apos;ve made contact with them, would get told to wait &quot;24-48 hrs&quot; in which I&apos;ll definitely receive an answer, but of course, I&apos;d never receive an answer until I call them again. I don&apos;t talk about emailing at all, cause via email they&apos;re mostly just ignoring. I&apos;m honestly so sick of chasing them for what it seems shouldn&apos;t be my issue, but theirs and I&apos;m absolutely certain that if I wouldn&apos;t have chased them, then I&apos;d not even ever receive any answers. I&apos;d not recommend to deal with Farfetch even to an enemy, unless you don&apos;t care how much time and nerves you gonna waste over them.

",neg
"THEY ARE RACIST!

","Extremely so much slow, this is my first purchase from here and I made a purchase of exactly one thousand Euros, but none of my products have been shipped yet since morning of 31 December 7AM.They are racist to me because of I am Turkish and they do not write a reply to my e-mails. And I&apos;m so sure that&apos;s why my products were not shipped yet! Go to hell Farfetch! You stole my time and f*cked up my surprise.Farfetch is over for me before it starts, never again! But fornow please move your big ass and ship my items!

",neg
"Beware Christmas gifts!

","Beware Christmas gifts!! Very poor Xmas returns policy for a high-end retail business. I purchased an item on 13th Nov for £275 for my daughter for Christmas. After opening the gift on Christmas Day she found the item to be too large. I contacted Farfetch the week after Christmas and was advised no exchange or refund was possible! Never again!

",neg
"Horrible experience

","Horrible experience. I bought a tennis shoe from them on Nov 7, but the extended holiday season return only started a couple days later, but they did not accept my exchange the size, saying it was placed before nov 15. With the pandemic, the person gifted took longer to receive the gift than normally, but I was sure all businesses would extend the return period due to the current pandemic situation. This is absurd.And the customer service was very rude. Do not buy there if you want to exchange after.

",neg
"HORRIBLE EXPERIENCE WITH CUSTOMER SERVICER

","I had a horrible experience with Farfetch. My sister gave my daughter a shoe for Xmas that was bought in November. She bought it one month ahead because she didn&apos;t want to risk not having my daughters size available because of the supply chain issue that is going on because of covid. She bought size 8.5 thinking it was women, but it was 8.5 men. I called Farfetch to make exchange for correct size,  spoke to a very bad humored lady called Rute, and she  said they only do refund, no exchange,... but that they wouldn&apos;t be able to do it because my sister should have sent it back in less than 14 days after she bought it. This is crazy! The shoe is brand new, expensive (the size 8.5 was more than U$100 more expensive than other sizes)  and I just wanted to exchange for the correct size. Very disappointed with Farfetch. They certainly lost two  client, my sister and I, and lots of friends that also buy from them will certainly stop buying after this ...

",neg
"Faulty item. Terrible customer service

","F5YVVF bag strap broke after 2 weeks, customer service said they will look into it and ask the retailer, or I can send the item back to get repaired (2-3months wait). Waited a month for an answer from the retailer. Still nothing from them. when I asked for a refund or replacement I get told my order is out of the refund/replacement policy because more than a month passed but it was the retailer not answering fault not mine? Here I am with a new, faulty item and this is the quality customer service they offer to their customers? They told me I could take it to a repair shop myself and they could ‘maybe’ look into refunding the repair cost… Unbelievable. Never buying here again.

",neg
"Alarm bell still attached to item at…

","Alarm bell still attached to item at time of delivery. I cannot use the bag. I am highly disappointed

",neg
"Worst service EVER!

","As much as it pains me to say it, if I had to give a review between 0 and 10 I would give minus 2! I ordered from Farfetch after watching Daniel Simmons you tube channel advising how good they were and how he high recommended purchasing from them. I ordered some Y3 sneakers on the 30th of November 2021 and they still have not been dispatched from their supplier! I fully appreciate the Pandemic coupled with Christmas slows delivery of goods but it is getting onto 5 weeks now with no update on dispatch!!! I requested a refund and was told it was not possible to cancel my order even though they hadn’t been dispatched from the supplier? Farfetch then advised that they would give me an update on delivery or a refund after 2/3 business days but then changed their mind and said it was not it possible to give a refund? I have now had to contact my CC company and advise that I have been scammed and asked them to handle it on my behalf. Surely Farfetch should have a policy with their suppliers whereas if the goods can out be dispatched in a timely manner i.e. 1 week the customer should be given a refund???? I order sneakers from global suppliers and I must say that unequivocally this is the worst service I have ever received! For that reason I will not be ordering anything from Farfetch again and would not recommend to anyone else to. A very disgruntled customer!!!!!

",neg
"Beware of price change at check out!!

","I was about to make an order and suddenly the price changes at check out to normal, when it was discounted. Very dissapointing

",neg
"I recently had very bad experience with…

","I recently had very bad experience with Browns fashion ( which is owned by Farfetch) and to be honest this has really deterred me from buying anything from Farfetch as well. You should really consider how your reputation get affected by company like Browns Fashion which is an absolute fraud. I ordered expensive jewelry from Browns Fashion and I got delivered an empty box with no item inside. Browns Fashion supposedly conducted internal investigation and concluded that all went well. Can you imagine this.. If you want consumers to trust Farfetch do something about this fraud company called Browns Fashion.

",neg
"Only buy if you want to loose your money

","I can give 0 stars as well. I ordered my usual size UK 10 shoe from farfetch. The site everywhere boasts of easy returns. My shoe that came was very loose. When trying to return, it shows that order is non returnable. I mean I understand for certain products to be non returnable but a 1.5 k shoe which is loose should be returned and my correct size be delivered. I have the whole packaging available. If this is somekind of a weird policy, They should specifically list non returnable in front of the products so that customers like me are not duped.

",neg
"wrong size and non refundable item very weird

","i order size large and i receive size xxl ,instead if they don&apos;t have the size they should update the customer ,not send any size they have and what made it worse , they say the order is not refundable which is very weird .

",neg
"Ordered a £200 T-shirt from Palm Angels…

","Ordered a £200 T-shirt from Palm Angels and got delivered an empty box of rubbish from DHL Express, after contacting both companies who are totally useless i just keep being fobbed off, to add salt to my wound the phone call to DHL cost me just over £16!!!After several emails to Palm Angels I just keep being told it is being investigated!!!I don’t have to be a rocket scientist to answer that, after being sent a box that was not secured around the edges and with a Palm Angels sticker emblazoned on it, a temporary Christmas worker has pinched it!!!Not happy and will not be using this company again!!

",neg
"Misleading sale

","Misleading people to believe that you offer discounts. Some items that I followed and waited for the sale have had the price put up before the sale to bring down to the same price it was before the sale!

",neg
"Don’t use this company. Totally disorganised

","Don’t use this company. £731 of expensive jeans arrived in envelopesNo boxes.  2 of 3 items didn’t fit. The Waybill enclosed from the boutique in Portugal had to go via Amsterdam. The Waybill enclosed from the boutique in Italy had to go to Italy. ????  This didn’t make sense to me. Phoned Customer service. “Yes” I was told “both correct”. The refund from Portugal took hours of communication but 5 weeks later I received a refund. However, Ive been informed today almost 2 months later that the jeans from Italy were never picked up.  The assumption being that I still have them. NOT CORRECT!!  My husband handed the package to the DHL driver.  MyTheresa, The OUTNET, &amp; Net-a-Porter use DHL. In 15 years I’ve never had a problem. Reading the reviews here it appears that I’m not the only one. STAY CLEAR OF this company. You may lose a lot of money like I did.

",neg
"Just awful

","Just awful. Paid 12 pounds for shipping on a pair of pricey shoes, took a week to come, ordered size 8 US. (On their website it literally says US size, no other option) As stated on website. Size 8 US - converts to Size 6 UK. So I was expecting a UK Size 6 to arrive. Instead I got a UK 8 Mens. Called customer service explaining they’ve sent the wrong shoe; and she said she doesn’t even know if I can be refunded the postage. I’m beyond annoyed, as on the box it says ‘farfetch, dispatched from Dover street market’So I googled dover street market, the supplier, they’re selling the shoes with no postage fee. So you’ve whacked on 12 pounds for no reason? Because you’re under the name farfetch? I’m just frustrated - I needed them, I can’t just buy a new pair, they were very expensive. Now I have to wait apparently 20 business days for a refund. Don’t recommend

",neg
"no original packaging.

","no original packaging.product is fake.

",neg
"Purchased a $2,750 YSL bag

","Purchased a $2,750 YSL bag, and when i recieved it in person is completely different to advertising photos, not even the same colour or material and says non-refundable. This is unacceptable and I want my money back ASAP. This is the first and last time I&apos;ll ever shop here.

",neg
"It took 20 days to get my order after I…

","It took 20 days to get my order after I was initially was only supposed to take around with no communication from the company until after Christmas

",neg
"Nothing delivered

","Ordered some shoes as a Christmas present and box delivered with no shoes in them. That’s bad enough but it’s taken weeks for get an answer on this (missing Christmas) and they say there’s nothing they can do. Crazy. Don’t trust this site.

",neg
"Pricing Issue

","I bought a jacket from Farfetch which was advertised as £471.67, reduced to £283.00 and promoted as 40% off.To my surprise, when I received the item, the original price was still on the label. This stated that the jacket was 399 Euros, around £343 at the time of purchase. At a discount of 40%, the jacket should have cost me no more than £205.80.I have notified Farfetch of this issue, however they have not offered to refund me the difference.I am very disappointed with the service and will take my custom elsewhere in the future.

",neg
"I am very disappointed with this…

","RTHYFRI am very disappointed with this site because I ordered a pair of Dr. Martens boots, which broke down after the first wear. I sent an e-mail and related pictures but they said that they were not worn properly and I have to send them to evaluate them, and it will take up to 3 months, during which time they run out of boots and no money. I wrote after less than 2 weeks and the quality guarantee does not exist or at least is not for the benefit of the client. I will never buy from them again. Sin.

",neg
"Don’t order from Farfetch

","I paid for DHL express delivery to make sure I have my shipment by Christmas, now after 18 day I still don’t have package!! Till few days ago it had NOT even been sent! Disgraceful! I’ve contacted customer care numerous times and they tell me I will have my refund when they get the shipment back. How can I send it back if I don’t even have it??? Absolutely terrible service! Don’t order from Farfetch, they keep your money and mess you around!!

",neg
"You send me differents sizes of the…

","You send me differents sizes of the shoes, one is 37 and the other 38!

",neg
"This company scammed us

","This company scammed us. DO NOT BUY FEOM HERE!!!! Absolutely rude staff never aloud me to talk. If I was the director of this company I would seriously go on a customer service course.

",neg
"They have taken my money but haven’t delivered my order

","Made an order for a Christmas gift and paid express delivery to ensure it arrived on time. Delivery estimate was missed and as of 11 days post order it has still not been processed and nobody can say when it will. Customer service non-existent, after numerous phone calls and emails they keep promising to investigate but never make any contact back, or try resolve the issue.Edit post responseFarfetch sent another general email saying it was being investigated 2 minutes before their response. Nearly a week later, still no meaningful update. They claim they are waiting on DHL and the boutique to respond to their emails. Apparently they don’t have the ability to call these companies, they can only email (despite me being able to get through to DHL by phone in 5 mins, who don’t have the package!). They seem to be unclear whether this package has been despatched or not, some customer services staff say it has, other say it hasn’t. Feel like I’m in a constant loop of inaction and incompetence

",neg
"I sent back the swimming bra

","I sent back the swimming bra. I wanted the money back. I only tried it for a once and returned it on time as it was rules. My great surprise, a picture was sent stating that the product is broken and we will not refund you. Unfortunately, I didn&apos;t notice it when I tried this swimmng bra. The picture what they send me shows that the seam is broken. Since this product was not small for me, I am pretty sure it was broken before it was sent to me or just bad quality . A quality product ( versace brand) should not break this way when try it ones. I warn everyone before you return, please check the product! They make you quilty and they do not return money! There are no guarantees you get your refund! Warning!

",neg
"I got the wrong order!!

","I got the wrong order!!! Extremely disappointed for the amount of money I spent to just be send a t shirt.

",neg
"Shocking customer service

","Purchased a pair of shoes in October - a stud fell off on the first time wearing them and all the other metal details scratched.  Have been emailing customer service for 2 months with zero resolution of the issue.In response to note from Farfetch - the customer service person helping has just repeated the same message I have been receiving for over a month so still no resolution!

",neg
"UPDATE STILL NO REBATE AND NO GOODS…

","UPDATE STILL NO REBATE AND NO GOODS EITHERI had an email from Farfetch on 17/12/21 which said: &quot;Sorry you’ve not received your refundI’ve looked into this for you, and the return shipment is currently on hold&quot;Yesterday, 22/12/21, they emailed me and said it was DHLs fault as they didn&apos;t pick up the parcel.  Who would you believe?  This looks like !passing the buck&quot; Don&apos;t make the mistake I did and use this company.  Anyone know what legal recourse I have?

",neg
"BEWARE!!!!!!

","Their delivery solution is fraudulent and expensive goods are marked as delivered by their trusted delivery partners but items are not actually delivered. They need a better delivery partner for such expensive goods.BEWARE!!!!!!!!!!!!!!!!

",neg
"Terrible service

","Terrible service A $600 USD order and did not arrive on time !I’ll never use you again !!John V Washko

",neg
"What a vile company to deal with

","What a vile company to deal with. Have been trying to return some poor quality goods for nearly a month now. On 4 occasions the courier has not turned up despite me waiting in! Trying email customer services is horrendous, you just get the same robot tone from the people who work there who clearly read from a script and can’t think of anything to say themselves and provide no help what so ever. They then lie to say I have stopped contact with them despite me having the emails to prove I have been messaging them. My next steps are to take legal action to reclaim the money. Have sent a letter warning of legal action if a resolution is not reached, but guess what, no one has replied!

",neg
"Ordered a jacket for over £1000 on…

","Ordered a jacket for over £1000 on 01/12/21 an got delivered a box of rubbish from dhl an all I keep getting is that it’s being investigated so I’ve got no money an no jacket. Will never use again

",neg
"TOTAL DISASTER IF YOU NEED TO RETURN…

","TOTAL DISASTER IF YOU NEED TO RETURN GOODS. REBATE NON EXISTENTReturned orders are handled by nothing less than dreadful mismanagement.  I returned 2 items that arrived together The return waybills were totally different.  Package 1 returned 17/11/21 The postal waybill made out to Farfetch in Amsterdam, but not to the boutique in Italy where the jeans originated.  Package 2 returned 22/11/21 the waybill was for the boutique partner in Portugal.  I phoned FF for advice as I found it very confusing and was told that the different waybills were correct.  GUESS WHAT?  The parcel for Italy via Amsterdam is still stuck in customs in UK 6 weeks later.  Parcel 2 eventfully made it to Portugal but it took 5 weeks to arrive/rebate.  The business model for this company doesn&apos;t work for customers in UK I feel.  There are too many avenues for mistakes &amp; mismanagement.  The company advertises goods from European boutiques, but there is no consistency.  I see from the reviews that many customers are in my position i.e. no goods and/or no return of money!  Even when the package arrives at FF the company still has to post it to the boutique and hopes that the boutique will return the cost of the item.  I am still almost £300 out of pocket 4 days before Christmas when I need my money badly!  Customer Services make the right noises both on the phone and on this website.  However, FF is just the middleman I think.  It is the boutique that returns to money/or not!!  I guess FF just advertises for the boutiques  Be very cautious. Try a different European company like Net-A-Porter, The Outnet or My Theresa.  These companies package the items beautifully too! So Farfetch, what is our legal right here?

",neg
"Places order on the 10th 11 days later…

","Places order on the 10th 11 days later no update regarding my order . Call customer service advised package may be lost

",neg
"I waited for weeks for this jacket and…

","I waited for weeks for this jacket and when it finally arrived, it was completely the wrong item altogether and I can’t return it online.

",neg
"purchased a Fendi ring which after 1…

","purchased a Fendi ring which after 1 week of wearing tarnished and the finish of the ring had literally come off. Complained to Farfetch, Sophia I have been dealing with has been responsive but they will not refund me for the ring which I find unacceptable. All they are offering is an exchange which I don’t want because I have no confidence the replacement fendi ring isn’t going to tarnish in the same way! Not impressed, the bottom line is the item is sub standard so I should be entitled to my money back! Farfetch refuse to offer a refund and are forcing me to accept a replacement fendi ring, which I basically do not want, Farfetch are just missing the point! I have Purchased a fair bit with Farfetch and spent a lot of money BUT won’t be shopping with Farfetch again as they do not appear to operate in line with the Consumer Rights Act 2015!Not interest in any form of a reply from Farfetch as nothing you will say stands any weight unless you are offering a full refund of £200.00 for the fendi ring!

",neg
"Really bad experience and customer…

","Really bad experience and customer service. I ordered a bag on sale 30%. But they never delivered the bag and returned it before I even got it. Now they want me to pay full price for the same bag if I want them to send it again. I ordered the bag in November and here I am 4 days before Christmas without a present for my wife. Be careful to buy anything from this website!

",neg
"Wrong size !!

","I ordered a size 5.5 And I received 7Plz contact me ASAP +972 549197799

",neg
"Worst customer service…

","I had ordered a very expensive 30th birthday present in which was left on a doorstep on a very busy road. Unfortunately by the time I got home from work it had gone. They opened up an investigation and apparently had enough evidence by a picture on a doorstop, the door was closed and no one signed for it, that was enough evidence and I was not entitled to a refund. I was £260 down just before Christmas and it ruined a 30th birthday present. The customer service was absolutely shocking and I will let everyone know and I won’t be using them again.

",neg
"Took almost a month to arrive and when…

","Took almost a month to arrive and when it finally came it was not what I ordered .

",neg
